"92.10 Gemeentecode","92.11 Omschrijving","92.12 Nieuwe code","99.98 Datum ingang","99.99 Datum einde"
"0328","Linschoten","0335","","19890101",""
"0553","Lisse","","","",""
"0808","Lith","0828","","20110101",""
"1104","Lithoijen","0808","","19390101",""
"0103","Littenseradeel","0140","19840101","19850126",""
"0140","Littenseradiel","","19850126","",""
"0262","Lochem","","","",""
"0329","Loenen","1904","","20110101",""
"1341","Loenen en Wolveren","0283","","18540420",""
"1105","Loenersloot","0311","","19640401",""
"1106","Lonneker","0153","","19340501",""
"0809","Loon op Zand","","","",""
"0330","Loosdrecht","1696","","20020101",""
"1107","Loosduinen","0518","","19230701",""
"0331","Lopik","","","",""
"0024","Loppersum","","","",""
"0168","Losser","","","",""
"0810","Luyksgestel","0749","","19970101",""
"0811","Maarheeze","0759","","19970101",""
"0332","Maarn","1581","","20060101",""
"0333","Maarssen","1904","","20110101",""
"1342","Maarssenbroek","0333","","18570908",""
"1108","Maarsseveen","0333","","19490701",""
"0334","Maartensdijk","0310","","20010101",""
"0933","Maasbracht","1641","","20070101",""
"0934","Maasbree","1894","","20100101",""
"0554","Maasdam","0585","","19840101",""
"1671","Maasdonk","0796","19930101","20150101",""
"0263","Maasdriel","","19440801","",""
"1641","Maasgouw","","20070101","",""
"1109","Maashees en Overloon","0863","","19420501",""
"0555","Maasland","1842","","20040101",""
"1110","Maasniel","0957","","19590801",""
"0556","Maassluis","","","",""
"0935","Maastricht","","","",""
"1665","Made","1719","19970101","19980425",""
"0812","Made en Drimmelen","1665","","19970101",""
"0936","Margraten","1903","","20110101",""
"0686","Mariekerke","0717","19660701","19970101",""
"0169","Markelo","1735","","20010101",""
"0419","Marken","0852","","19910101",""
"0025","Marum","","","",""
"0264","Maurik","0214","","19990101",""
"0420","Medemblik","","","",""
"0026","Meeden","0033","","19900101",""
"1343","Meerdervoort","0642","","18550901",""
"0557","Meerkerk","0707","","19860101",""
"0937","Meerlo","0993","","19690701",""
"0993","Meerlo-Wanssum","0984","19690701","20100101",""
"0938","Meerssen","","","",""
"1111","Meeuwen","0771","","19230501",""
"1265","Meeuwen, Hill en Babyloniënbroek","1111","","19080801",""
"0813","Megen, Haren en Macharen","0828","","19940101",""
"1948","Meierijstad","","20170101","",""
"0941","Meijel","1894","","20100101",""
"0939","Melick en Herkenbosch","1669","","19930101",""
"1112","Meliskerke","0686","","19660701",""
"1113","Melissant","0504","","19660101",""
"0083","Menaldumadeel","1908","","20110101",""
"1908","Menameradiel","","20110101","",""
"1987","Menterwolde","","19910201","",""
"0119","Meppel","","","",""
"0940","Merkelbeek","0963","","19820101",""
"1114","Mesch","0905","","19430101",""
"0942","Mheer","0936","","19820101",""
"0687","Middelburg","","","",""
"1344","Middelburg (ZH)","0595","","18550901",""
"0559","Middelharnis","1924","","20130101",""
"0421","Middelie","0478","","19700801",""
"0027","Middelstum","0024","","19900101",""
"1842","Midden-Delfland","","20040101","",""
"1731","Midden-Drenthe","","20000101","",""
"0688","Middenschouwen","1676","19610101","19970101",""
"1697","Middenveld","1731","19980101","20000101",""
"0028","Midwolda","0039","","19900101",""
"0422","Midwoud","0529","","19790101",""
"0814","Mierlo","1771","","20040101",""
"0336","Mijdrecht","0736","","19890101",""
"0564","Mijnsheerenland","0585","","19840101",""
"0815","Mill en Sint Hubert","","","",""
"1259","Millingen","0265","","19550101",""
"0265","Millingen aan de Rijn","0241","19550101","20150101",""
"1709","Moerdijk","","19980401","",""
"0816","Moergestel","0824","","19970101",""
"0647","Moerhuizen","1666","19910101","19920201",""
"0560","Moerkapelle","0647","","19910101",""
"0561","Molenaarsgraaf","0693","","19860101",""
"1927","Molenwaard","","20130101","",""
"0423","Monnickendam","0852","","19910101",""
"0562","Monster","1783","","20040101",""
"1955","Montferland","","20050101","",""
"0335","Montfoort","","","",""
"0943","Montfort","0956","","19910101",""
"0944","Mook en Middelaar","","","",""
"0563","Moordrecht","1892","","20100101",""
"0424","Muiden","1942","","20160101",""
"0945","Munstergeleen","0968","","19820101",""
"0029","Muntendam","0033","","19900101",""
"0565","Naaldwijk","1783","","20040101",""
"0425","Naarden","1942","","20160101",""
"1346","Naters","0598","","18560101",""
"1740","Neder-Betuwe","","20030401","",""
"1115","Nederhemert","0257","","19550701",""
"0426","Nederhorst den Berg","1696","","20020101",""
"0643","Nederlek","1931","19850101","20150101",""
"1347","Nederslingelandt","1154","","18570819",""
"0946","Nederweert","","","",""
"0266","Neede","1859","","20050101",""
"0947","Neer","0958","","19910101",""
"0304","Neerijnen","","19780101","",""
"1116","Neeritter","0925","","19420701",""
"0427","Nibbixwoud","0466","","19790101",""
"0412","Niedorp","1911","19700801","20120101",""
"1117","Nieuw- en Sint Joosland","0687","","19660701",""
"0566","Nieuw-Beijerland","0588","","19840101",""
"0428","Nieuwe Niedorp","0412","","19700801",""
"0030","Nieuwe Pekela","0765","","19900101",""
"1119","Nieuwe Tonge","0559","","19660101",""
"0356","Nieuwegein","","19710701","",""
"1120","Nieuwendam","0363","","19210101",""
"0948","Nieuwenhagen","0882","","19820101",""
"1121","Nieuwenhoorn","0530","","19600101",""
"1249","Nieuwer-Amstel","0362","","19640101",""
"1122","Nieuwerkerk","0662","","19610101",""
"0567","Nieuwerkerk aan den IJssel","1892","","20100101",""
"0031","Nieuweschans","0006","","19900101",""
"0817","Nieuw-Ginneken","0758","19420101","19970101",""
"1118","Nieuw-Helvoet","0530","","19600101",""
"0569","Nieuwkoop","","","",""
"1123","Nieuwkuijk","0864","","19350501",""
"0570","Nieuwland","0707","","19860101",""
"1348","Nieuwland, Kortland en 's-Graveland","1096","","18560101",""
"0571","Nieuw-Lekkerland","1927","","20130101",""
"0170","Nieuwleusen","0148","","20010101",""
"0032","Nieuwolda","0039","","19900101",""
"0572","Nieuwpoort","0694","","19860101",""
"0949","Nieuwstadt","0974","","19820101",""
"0573","Nieuwveen","1673","","19940101",""
"1349","Nieuwveen in Delfland","0577","","18320101",""
"0690","Nieuwvliet","0692","","19700401",""
"0818","Nieuw-Vossemeer","0851","","19970101",""
"0337","Nigtevecht","0329","","19890101",""
"0104","Nijefurd","1900","19840101","20110101",""
"0121","Nijeveen","0119","","19980101",""
"0267","Nijkerk","","","",""
"0268","Nijmegen","","","",""
"0691","Nisse","0654","","19700101",""
"1930","Nissewaard","","20150101","",""
"0819","Nistelrode","0791","","19940101",""
"0950","Noorbeek","0936","","19820101",""
"1695","Noord-Beveland","","19950101","",""
"1126","Noordbroek","0033","","19650701",""
"1127","Noorddijk","0014","","19690101",""
"0574","Noordeloos","0689","","19860101",""
"1699","Noordenveld","","19980101","",""
"0529","Noorder-Koggenland","0420","19790101","20070101",""
"1128","Noordgouwe","0656","","19610101",""
"0171","Noordoostpolder","","19620701","",""
"1350","Noord-Polsbroek","0338","","18570908",""
"1124","Noord-Scharwoude","0416","","19410801",""
"1125","Noord-Waddinxveen","0627","","18700701",""
"1129","Noordwelle","0725","","19610101",""
"0575","Noordwijk","","","",""
"0576","Noordwijkerhout","","","",""
"0577","Nootdorp","1926","","20020101",""
"0120","Norg","1699","","19980101",""
"0820","Nuenen, Gerwen en Nederwetten","","","",""
"0821","Nuland","1671","","19930101",""
"0578","Numansdorp","0611","","19840101",""
"1130","Nunhem","0914","","19421001",""
"0302","Nunspeet","","19720101","",""
"0951","Nuth","","","",""
"0952","Obbicht en Papenhoven","0897","","19820101",""
"0429","Obdam","1598","","20070101",""
"1131","Odijk","0312","","19640901",""
"0122","Odoorn","1681","","19980101",""
"0822","Oeffelt","0756","","19940101",""
"0579","Oegstgeest","","","",""
"1132","Oerle","0861","","19210501",""
"0953","Ohé en Laak","0933","","19910101",""
"1150","Oijen en Teeffelen","0808","","19390101",""
"0954","Oirsbeek","0962","","19820101",""
"0823","Oirschot","","","",""
"0824","Oisterwijk","","","",""
"1895","Oldambt","","20100101","",""
"0269","Oldebroek","","","",""
"0035","Oldehove","0056","","19900101",""
"0036","Oldekerk","0015","","19900101",""
"0172","Oldemarkt","0195","","19730101",""
"0173","Oldenzaal","","","",""
"0174","Olst","1773","","20020326",""
"1773","Olst-Wijhe","","20020326","",""
"0175","Ommen","","19230501","",""
"0000","Onbekend","","","",""
"0999","Onbekend (Niet GBA)","","","19901001",""
"0881","Onderbanken","","19820101","",""
"1250","Onstwedde","0037","","19690101",""
"1351","Onwaard","1113","","18580101",""
"1133","Ooltgensplaat","0580","","19660101",""
"1134","Oost- en West-Barendrecht","0489","18360101","18860101",""
"1135","Oost- en West-Souburg","0718","","19660701",""
"1586","Oost Gelre","","20060519","",""
"0825","Oost-, West- en Middelbeers","0823","","19970101",""
"1352","Oost-Barendrecht","1134","","18360101",""
"0692","Oostburg","1714","","20030101",""
"0084","Oostdongeradeel","0058","","19840101",""
"0033","Oosterbroek","1987","19650701","19910201",""
"0123","Oosterhesselen","0109","","19980101",""
"0826","Oosterhout","","","",""
"1136","Oosterland","0662","","19610101",""
"0580","Oostflakkee","1924","19660101","20130101",""
"0430","Oosthuizen","0478","","19700801",""
"1137","Oostkapelle","0660","","19660701",""
"1353","Oost-Souburg","1135","","18340101",""
"0085","Ooststellingwerf","","","",""
"0581","Oostvoorne","0614","","19800101",""
"0431","Oostzaan","","","",""
"0176","Ootmarsum","0149","","20010101",""
"0270","Ophemert","0304","","19780101",""
"0827","Oploo, St. Anthonis en Ledeacker","1691","","19940101",""
"0432","Opmeer","","","",""
"0433","Opperdoes","0529","","19790101",""
"0086","Opsterland","","","",""
"0828","Oss","","","",""
"0829","Ossendrecht","0873","","19970101",""
"1138","Ossenisse","0719","","19360701",""
"0434","Oterleek","0458","","19700801",""
"0955","Ottersum","0907","","19730101",""
"0582","Ottoland","0693","","19860101",""
"0831","Oud en Nieuw Gastel","1655","","19970101",""
"1139","Oud- en Nieuw-Mathenesse","0606","","18680101",""
"0583","Oud-Alblas","0693","","19860101",""
"0584","Oud-Beijerland","","","",""
"1142","Ouddorp","0511","","19660101",""
"1356","Oude en Nieuwe Struiten","1118","","18550901",""
"1509","Oude IJsselstreek","","20050101","",""
"0436","Oude Niedorp","0412","","19700801",""
"0038","Oude Pekela","0765","","19900101",""
"0695","Oudelande","0654","","19700101",""
"0830","Oudenbosch","1655","","19970101",""
"0435","Oudendijk","0558","","19790101",""
"0586","Oudenhoorn","0568","","19800101",""
"1144","Oudenrijn","0347","","19540101",""
"0437","Ouder-Amstel","","","",""
"0644","Ouderkerk","1931","19850101","20150101",""
"0587","Ouderkerk aan den IJssel","0644","","19850101",""
"1143","Oude-Tonge","0580","","19660101",""
"0589","Oudewater","","","",""
"1145","Oudheusden","0797","","19350501",""
"1357","Oudhuizen","0350","","18580101",""
"1146","Oudkarspel","0416","","19410801",""
"0438","Oudorp","0361","","19721001",""
"1147","Oudshoorn","0484","","19180101",""
"1140","Oud-Valkenburg","0982","","19401001",""
"0696","Oud-Vossemeer","0716","","19710701",""
"1141","Oud-Vroenhoven","0935","","19200101",""
"1355","Oud-Wulven","0321","","18580101",""
"1358","Oukoop","1075","","18570819",""
"1148","Ouwerkerk","0662","","19610101",""
"0271","Overasselt","0252","","19800701",""
"1734","Overbetuwe","","20010101","",""
"1149","Overschie","0599","","19410801",""
"0697","Overslag","0650","","19700401",""
"0698","Ovezande","0654","","19700101",""
"0272","Pannerden","0196","","19850101",""
"1151","Papekop","0506","","19640201",""
"0590","Papendrecht","","","",""
"1894","Peel en Maas","","20100101","",""
"0124","Peize","1699","","19980101",""
"0765","Pekela","","19900101","",""
"1152","Pernis","0599","","19340501",""
"1153","Petten","0476","","19290501",""
"1154","Peursum","0510","","19570101",""
"0699","Philippine","0704","","19700401",""
"0591","Piershil","0588","","19840101",""
"0594","Pijnacker","1926","","20020101",""
"1926","Pijnacker-Nootdorp","","20020101","",""
"1155","Poederoijen","0212","","19550701",""
"0338","Polsbroek","0331","18570613","19890101",""
"0592","Poortugaal","0613","","19850101",""
"0700","Poortvliet","0716","","19710701",""
"1359","Portengen","1028","","18590101",""
"0956","Posterholt","1679","","19940201",""
"1156","Princenhage","1247","","19420101",""
"0832","Prinsenbeek","0758","19510101","19970101",""
"0439","Purmerend","","","",""
"0833","Putte","0873","","19970101",""
"0273","Putten","","","",""
"0593","Puttershoek","0585","","19840101",""
"0177","Raalte","","","",""
"0834","Raamsdonk","0779","","19970101",""
"1157","Ransdorp","0363","","19210101",""
"0087","Rauwerderhem","0057","","19840101",""
"0835","Ravenstein","0828","","20030101",""
"1158","Reek","0843","","19420701",""
"0595","Reeuwijk","1901","","20110101",""
"1999","Registratie Niet Ingezetenen (RNI)","","20140106","",""
"1661","Reiderland","1895","19910701","20100101",""
"0703","Reimerswaal","","19700101","",""
"1159","Renesse","0725","","19610101",""
"0274","Renkum","","","",""
"0339","Renswoude","","","",""
"0701","Retranchement","0713","","19700401",""
"0836","Reusel","1667","","19970101",""
"1667","Reusel-De Mierden","","19970101","",""
"0275","Rheden","","","",""
"0340","Rhenen","","","",""
"1360","Rhijnauwen","0312","","18570908",""
"0596","Rhoon","0613","","19850101",""
"0597","Ridderkerk","","","",""
"0837","Riethoven","0749","","19970101",""
"1160","Rietveld","0632","","19640201",""
"1361","Rietwijkeroord","1249","","18540623",""
"1165","Rijckholt","0911","","19430101",""
"0646","Rijneveld","1672","19910101","19930101",""
"0601","Rijnsaterwoude","0645","","19910101",""
"0602","Rijnsburg","0537","","20060101",""
"0196","Rijnwaarden","","19850101","",""
"1672","Rijnwoude","0484","19930101","20140101",""
"0841","Rijsbergen","0879","","19970101",""
"1166","Rijsenburg","0316","","19310501",""
"1362","Rijsoort","1258","","18550101",""
"1258","Rijsoort en Strevelshoek","0597","18460101","18550901",""
"0178","Rijssen","1742","","20030315",""
"1742","Rijssen-Holten","","20030315","",""
"0603","Rijswijk","","","",""
"0842","Rijswijk (NB)","0874","","19730101",""
"1161","Rilland","0702","","18780101",""
"0702","Rilland-Bath","0703","18771210","19700101",""
"1162","Rimburg","0978","","18870315",""
"1163","Ritthem","0718","","19660701",""
"0598","Rockanje","0614","","19800101",""
"0125","Roden","1699","","19980101",""
"1669","Roerdalen","","19930101","",""
"0957","Roermond","","","",""
"0958","Roggel","1670","","19930101",""
"1670","Roggel en Neer","1640","19930101","20070101",""
"0126","Rolde","1680","","19980101",""
"1674","Roosendaal","","19970101","",""
"0838","Roosendaal en Nispen","1674","","19970101",""
"0959","Roosteren","0974","","19820101",""
"0839","Rosmalen","0796","","19960101",""
"0276","Rossum","0263","","19990101",""
"0599","Rotterdam","","","",""
"1363","Roxenisse","1113","","18580101",""
"0600","Rozenburg","0599","","20100318",""
"0277","Rozendaal","","","",""
"0840","Rucphen","","","",""
"1364","Ruijven","0594","","18460101",""
"0127","Ruinen","1690","","19980101",""
"0128","Ruinerwold","1690","","19980101",""
"0278","Ruurlo","1859","","20050101",""
"1164","Ruwiel","0311","","19640401",""
"0787","'s Gravenmoer","0766","","19970101",""
"0669","'s Heer Abtskerke","0654","","19700101",""
"1326","'s Heer Hendriks Kinderen","0670","","18570801",""
"1167","Sambeek","0756","","19420501",""
"1365","Sandelingen-Ambacht","0531","","18550901",""
"1168","Sappemeer","0018","","19490401",""
"0704","Sas van Gent","0715","","20030101",""
"0604","Sassenheim","1525","","20060101",""
"0960","Schaesberg","0882","","19820101",""
"0441","Schagen","","","",""
"0843","Schaijk","1685","","19940101",""
"1169","Schalkwijk","0321","","19620101",""
"1366","Schardam","0371","","18540531",""
"0139","Scharsterland","0051","19840101","19850301",""
"1367","Scharwoude","0368","","18540531",""
"0039","Scheemda","1895","","20100101",""
"1368","Schellingwoude","1157","","18570919",""
"0442","Schellinkhout","0454","","19700801",""
"0605","Schelluinen","0689","","19860101",""
"0458","Schermer","0361","19700801","20150101",""
"0443","Schermerhorn","0458","","19700801",""
"0705","Scherpenisse","0716","","19710701",""
"0279","Scherpenzeel","","","",""
"1170","Schiebroek","0599","","19410801",""
"0606","Schiedam","","","",""
"0088","Schiermonnikoog","","","",""
"0844","Schijndel","1948","","20170101",""
"0961","Schimmert","0951","","19820101",""
"1171","Schin op Geul","0982","","19401001",""
"0962","Schinnen","","","",""
"0963","Schinveld","0881","","19820101",""
"0607","Schipluiden","1842","","20040101",""
"1369","Schokland","0166","","18580901",""
"1370","Schonauwen","0321","","18580101",""
"0706","Schoondijke","0692","","19700401",""
"0129","Schoonebeek","0114","18840501","19980101",""
"0608","Schoonhoven","1931","","20150101",""
"0609","Schoonrewoerd","0545","","19860101",""
"0444","Schoorl","0373","","20010101",""
"1172","Schore","0678","","19410101",""
"1173","Schoten","0392","","19270501",""
"1174","Schoterland","0074","","19340701",""
"1676","Schouwen-Duiveland","","19970101","",""
"1371","Schuddebeurs en Simonshaven","0509","","18550711",""
"1175","Serooskerke (Schouwen)","0725","","19610101",""
"1176","Serooskerke (Walcheren)","0717","","19660701",""
"0964","Sevenum","1507","","20100101",""
"0390","'s-Graveland","1696","","20020101",""
"1320","'s-Gravenambacht","1152","","18340101",""
"0517","'s-Gravendeel","0585","","20070101",""
"0518","'s-Gravenhage","","","",""
"0666","'s-Gravenpolder","0654","","19700101",""
"0519","'s-Gravenzande","1783","","20040101",""
"1321","'s-Gravesloot","0323","","18570908",""
"0670","'s-Heer Arendskerke","0664","","19700101",""
"0671","'s-Heerenhoek","0654","","19700101",""
"0796","'s-Hertogenbosch","","","",""
"0447","Sijbekarspel","0529","","19790101",""
"1261","Simonshaven","0509","","18550901",""
"0965","Simpelveld","","","",""
"1702","Sint Anthonis","","19950704","",""
"1372","Sint Anthonypolder","0554","","18320101",""
"0966","Sint Geertruid","0936","","19820101",""
"1178","Sint Kruis","0648","","19410401",""
"1179","Sint Laurens","0687","","19660701",""
"0445","Sint Maarten","0395","","19900101",""
"0967","Sint Odiliënberg","0956","","19910101",""
"0446","Sint Pancras","0416","","19900101",""
"0712","Sint Philipsland","0716","","19950101",""
"1180","Sint Pieter","0935","","19200101",""
"0708","Sint-Annaland","0716","","19710701",""
"0711","Sint-Maartensdijk","0716","","19710701",""
"0845","Sint-Michielsgestel","","","",""
"0846","Sint-Oedenrode","1948","","20170101",""
"0968","Sittard","1883","","20010101",""
"1883","Sittard-Geleen","","20010101","",""
"0051","Skarsterlân","1921","19850301","20140101",""
"0130","Sleen","0109","","19980101",""
"0969","Slenaken","0990","","19820101",""
"0610","Sliedrecht","","","",""
"0040","Slochteren","","","",""
"0089","Sloten (F)","0071","","19840101",""
"1181","Sloten (NH)","0363","","19210101",""
"1182","Sluipwijk","0595","","18700701",""
"1714","Sluis","","20030101","",""
"0713","Sluis (oud)","1698","","19950101",""
"1698","Sluis-Aardenburg","1714","19950101","20030101",""
"0090","Smallingerland","","","",""
"0131","Smilde","1697","","19980101",""
"0091","Sneek","1900","","20110101",""
"0341","Snelrewaard","0589","","19890101",""
"1183","Soerendonk, Sterksel en Gastel","0811","","19250101",""
"0342","Soest","","","",""
"0847","Someren","","","",""
"1184","Sommelsdijk","0559","","19660101",""
"0848","Son en Breugel","","","",""
"1185","Spaarndam","0392","","19270501",""
"1374","Spaarnwoude","0393","","18570908",""
"1186","Spanbroek","0432","","19590701",""
"0970","Spaubeek","0888","","19820101",""
"1375","Spijk","0533","","18550901",""
"0612","Spijkenisse","1930","","20150101",""
"1187","Sprang","0849","","19230101",""
"0849","Sprang-Capelle","0867","19230101","19970101",""
"1177","St. Anna ter Muiden","0713","","18800423",""
"1691","St. Anthonis","1702","19940101","19950704",""
"0709","St. Jansteen","0677","","19700401",""
"1373","St. Maartensregt","0607","","18550901",""
"1188","Stad aan 't Haringvliet","0559","","19660101",""
"0179","Stad Delden","1735","","20010101",""
"1189","Stad-Almelo","0141","","19140101",""
"1190","Stad-Doetinchem","0222","","19200101",""
"1191","Stad-Hardenberg","0160","","19410501",""
"1192","Stad-Ommen","0175","","19230501",""
"0037","Stadskanaal","","19690101","",""
"1193","Stad-Vollenhove","0185","","19420201",""
"0850","Standdaarbuiten","0878","","19970101",""
"0180","Staphorst","","","",""
"0714","Stavenisse","0716","","19710701",""
"1257","Staveren","0092","19390101","19790101",""
"0092","Stavoren","0104","","19840101",""
"0532","Stede Broec","","19790101","",""
"0041","Stedum","0024","","19900101",""
"0851","Steenbergen","","","",""
"1376","Steenbergen en Kruisland","0851","","19620625",""
"0280","Steenderen","1876","","20050101",""
"0181","Steenwijk","1708","","20030101",""
"1708","Steenwijkerland","","20030101","",""
"0182","Steenwijkerwold","0181","","19730101",""
"0971","Stein","","","",""
"1194","Stein (ZH)","0595","","18700701",""
"1195","Stellendam","0511","","19660101",""
"1377","Sterkenburg","1048","","18570908",""
"0972","Stevensweert","0933","","19910101",""
"1904","Stichtse Vecht","","20110101","",""
"1196","Stiphout","0794","","19680101",""
"0615","Stolwijk","0623","","19850101",""
"1197","Stompwijk","0548","","19380101",""
"1198","Stoppeldijk","0719","","19360701",""
"1378","Stormpolder","0542","","18550901",""
"0343","Stoutenburg","0327","","19690601",""
"0973","Stramproy","0988","","19980101",""
"1199","Stratum","0772","","19200101",""
"0616","Streefkerk","0694","","19860101",""
"1380","Strevelshoek","1258","","18460101",""
"0617","Strijen","","","",""
"1381","Strijensas","0617","","18550901",""
"1201","Strijp","0772","","19200101",""
"1200","Strucht","1171","","18790102",""
"1900","Súdwest-Fryslân","","20110101","",""
"0974","Susteren","1711","","20030101",""
"0975","Swalmen","0957","","20070101",""
"0054","'t Zandt","0024","","19900101",""
"1382","Teckop","0323","","18570908",""
"0976","Tegelen","0983","","20010101",""
"1383","Tempel","0493","","18580711",""
"0009","Ten Boer","","","",""
"0480","Ter Aar","0569","","20070101",""
"0853","Terheijden","1665","","19970101",""
"0042","Termunten","0010","","19900101",""
"0715","Terneuzen","","","",""
"0093","Terschelling","","","",""
"0854","Teteringen","0758","","19970101",""
"0448","Texel","","","",""
"1525","Teylingen","","20060101","",""
"0716","Tholen","","","",""
"0977","Thorn","1641","","20070101",""
"0281","Tiel","","","",""
"1202","Tienhoven (U)","0333","","19570701",""
"0618","Tienhoven (ZH)","0707","","19860101",""
"0094","Tietjerksteradeel","0737","","19890101",""
"0855","Tilburg","","","",""
"1203","Tongelre","0772","","19200101",""
"0183","Tubbergen","","","",""
"1204","Tudderen","","19490422","19630801",""
"1205","Tull en 't Waal","0321","","19620101",""
"1700","Twenterand","","20020601","",""
"0449","Twisk","0529","","19790101",""
"1730","Tynaarlo","","19991201","",""
"0737","Tytsjerksteradiel","","19890101","",""
"0978","Ubach over Worms","0882","","19820101",""
"0282","Ubbergen","0241","","20150101",""
"0856","Uden","","","",""
"0857","Udenhout","0855","","19970101",""
"0450","Uitgeest","","","",""
"0451","Uithoorn","","","",""
"0043","Uithuizen","0019","","19790101",""
"0044","Uithuizermeeden","0019","","19790101",""
"0979","Ulestraten","0938","","19820101",""
"0045","Ulrum","1663","","19920101",""
"0184","Urk","","","",""
"0980","Urmond","0971","","19820101",""
"0452","Ursem","0558","","19790101",""
"0046","Usquert","0019","","19900101",""
"0095","Utingeradeel","0057","","19840101",""
"0344","Utrecht","","","",""
"1581","Utrechtse Heuvelrug","","20060101","",""
"0981","Vaals","","","",""
"0283","Valburg","1734","","20010101",""
"1252","Valkenburg (L)","0982","","19410715",""
"0619","Valkenburg (ZH)","0537","","20060101",""
"0994","Valkenburg aan de Geul","","19820101","",""
"0982","Valkenburg-Houthem","0994","19401001","19820101",""
"0720","Valkenisse","0717","19660701","19970101",""
"0858","Valkenswaard","","","",""
"0284","Varik","0304","","19780101",""
"0859","Veen","0738","","19730101",""
"0047","Veendam","","","",""
"0345","Veenendaal","","","",""
"1384","Veenhuizen","0398","","18540413",""
"0717","Veere","","","",""
"0860","Veghel","1948","","20170101",""
"0861","Veldhoven","","19210101","",""
"1206","Veldhoven en Meerveldhoven","0861","","19210501",""
"1207","Veldhuizen","0347","","19540101",""
"1208","Velp","0786","","19420701",""
"0453","Velsen","","","",""
"0454","Venhuizen","0498","","20060101",""
"0983","Venlo","","","",""
"0984","Venray","","","",""
"1386","Verwolde","0259","","18540522",""
"0862","Vessem, Wintelre en Knegsel","0770","","19970101",""
"1209","Veur","0548","","19380101",""
"0620","Vianen","","","",""
"0863","Vierlingsbeek","0756","","19980101",""
"0621","Vierpolders","0501","","19800101",""
"1387","Vinkeveen","0346","","18410101",""
"0346","Vinkeveen en Waverveen","0736","18410101","19890101",""
"0622","Vlaardingen","","","",""
"1210","Vlaardinger-Ambacht","0622","","19410801",""
"0048","Vlagtwedde","","","",""
"0132","Vledder","1701","","19980101",""
"1211","Vleuten","0347","","19540101",""
"0347","Vleuten-De Meern","0344","19540101","20010101",""
"0096","Vlieland","","","",""
"1212","Vlierden","0762","","19260101",""
"1388","Vliet","0521","","18460101",""
"0864","Vlijmen","0797","","19970101",""
"0718","Vlissingen","","","",""
"0623","Vlist","1931","","20150101",""
"0985","Vlodrop","0939","","19910101",""
"0986","Voerendaal","","","",""
"0719","Vogelwaarde","0675","19360701","19700401",""
"0185","Vollenhove","0194","19420201","19730101",""
"0624","Voorburg","1916","","20020101",""
"0625","Voorhout","1525","","20060101",""
"0626","Voorschoten","","","",""
"0285","Voorst","","","",""
"0286","Vorden","1876","","20050101",""
"1213","Vreeland","0329","","19640401",""
"0348","Vreeswijk","0356","","19710701",""
"0133","Vries","0136","","19980101",""
"0186","Vriezenveen","1700","","20020601",""
"1390","Vrije en Lage Boekhorst","0483","","18550815",""
"1215","Vrijenban","0503","","19210101",""
"1216","Vrijhoeve-Capelle","0849","","19230101",""
"1391","Vrijhoeven","0480","","18400710",""
"1214","Vrouwenpolder","0717","","19660701",""
"0865","Vught","","","",""
"0287","Vuren","0733","","19870103",""
"0866","Waalre","","","",""
"0867","Waalwijk","","","",""
"0721","Waarde","0703","","19700101",""
"0288","Waardenburg","0304","","19780101",""
"1217","Waarder","0506","","19640201",""
"0627","Waddinxveen","","18700701","",""
"1218","Wadenoijen","0281","","19560701",""
"0289","Wageningen","","","",""
"0290","Wamel","0668","","19850701",""
"0187","Wanneperveen","0194","","19730101",""
"0868","Wanroij","1691","","19940101",""
"0987","Wanssum","0993","","19690701",""
"0455","Warder","0478","","19700801",""
"0049","Warffum","0019","","19900101",""
"0456","Warmenhuizen","0395","","19900101",""
"0628","Warmond","1525","","20060101",""
"0291","Warnsveld","0301","","20050101",""
"0869","Waspik","0867","","19970101",""
"0629","Wassenaar","","","",""
"1219","Watergraafsmeer","0363","","19210101",""
"0630","Wateringen","1783","","20040101",""
"0852","Waterland","","19910101","",""
"0722","Waterlandkerkje","0692","","19700401",""
"1393","Waverveen","0346","","18410101",""
"1220","Wedde","0007","","19680901",""
"0188","Weerselo","0149","","20010101",""
"0988","Weert","","","",""
"0457","Weesp","","","",""
"1221","Weesperkarspel","0363","","19660801",""
"0292","Wehl","0222","","20050101",""
"0723","Wemeldinge","0678","","19700101",""
"0870","Werkendam","","","",""
"1223","Werkhoven","0312","","19640901",""
"0459","Wervershoof","0420","","20110101",""
"0989","Wessem","1937","","19910101",""
"0668","West Maas en Waal","","19850701","",""
"1394","West-Barendrecht","1134","","18360101",""
"1224","Westbroek","0334","","19570701",""
"0097","Westdongeradeel","0058","","19840101",""
"0724","Westdorpe","0704","","19700401",""
"0134","Westerbork","1697","","19980101",""
"0871","Westerhoven","0749","","19970101",""
"0558","Wester-Koggenland","1598","19790101","20070101",""
"0725","Westerschouwen","1676","19610101","19970101",""
"1701","Westerveld","","19980101","",""
"0293","Westervoort","","","",""
"0726","Westkapelle","0717","","19970101",""
"1783","Westland","","20040101","",""
"0631","Westmaas","0585","","19840101",""
"1395","West-Souburg","1135","","18340101",""
"0098","Weststellingwerf","","","",""
"0614","Westvoorne","","19800101","",""
"0460","Westwoud","1246","","19790101",""
"0461","Westzaan","0479","","19740101",""
"1396","Wieldrecht","0507","","18570131",""
"0189","Wierden","","","",""
